state,x,y
Alabama,125,-85
Alaska,-208,-170
Arizona,-225,-50
Arkansas,45,-53
California,-315,13
Colorado,-125,20
Connecticut,290,90
Delaware,275,42
Florida,205,-145
Georgia,177,-75
Hawaii,-317,-143
Idaho,-220,105
Illinois,85,37
Indiana,123,39
Iowa,38,65
Kansas,-35,5
Kentucky,149,1
Louisiana,49,-130
Maine,309,175
Maryland,288,27
Massachusetts,285,119
Michigan,135,101
Minnesota,15,135
Mississippi,75,-110
Missouri,49,6
Montana,-150,150
Nebraska,-61,66
Nevada,-265,50
New Hampshire,280,135
New Jersey,282,65
New Mexico,-128,-43
New York,236,99
North Carolina,200,-22
North Dakota,-60,158
Ohio,170,48
Oklahoma,-18,-41
Oregon,-284,130
Pennsylvania,210,66
Rhode Island,290,105
South Carolina,190,-51
South Dakota,-60,109
Tennessee,131,-34
Texas,-38,-106
Utah,-190,34
Vermont,268,144
Virginia,230,5
Washington,-280, 185
West Virginia,190,20
Wisconsin,60,113
Wyoming,-145,90
